episode_id,t1,t2,t3,t4,a,b
106,[98] The Missing Doll Incide,"Youen-sensei's precious doll has gone missing! When you go investigate the old school building, Kurata appears, saying he also lost a doll. You decide to search together, but... Kurata is in big trouble?!",Students in year 4 or above who cleared “At the End of Escape”,,1,20702
107,[102] Lost Little Johnny,"A strange object appeared in the greenhouse, and strange people began wandering around. Johnny went to investigate it, and he disappeared too...",Students in year 4 or above who cleared “Beloved François”,,1,10004
109,[102] The Vanished Organ Ped,"Meiyen's precious organ pedal has disappeared, leaving her unable to play the organ. Who on earth is the culprit?",Students in year 4 or above who cleared “Disappearance”,,1,20702
111,[1] Your Room Is My Room,"Break it! Take it! My room is mine! Other people's rooms are mine too!<br>Break each room's sign and change it to your team's color, and that room becomes your team's territory! The team that occupies the most rooms wins!<br>(However, if the enemy destroys your team's sign, that room is taken. Protect your rooms while taking the opponent's rooms!)",Students in year 3 or above<br>2–4 teams,,1,10101
114,"[9] Go! Go! Sowol!","A secret passage to Sowol Academy guided by Estiva's idol, China. It's an open secret, though. Monsters get in the way, gates are closed, and piles of rubble block the path, but nothing can stop the desire to go to a new school!",Students in year 1 or above,,1,10203
115,[9] Let's Go to Estiva,"Sowol Academy and Estiva Academy are connected by an underground waterway. The key to this waterway is managed by the student council, and it is only opened for students who want to go to Estiva Academy. Now, take the waterway and go to Estiva Academy. The path is not that difficult, but collapsed rubble blocks the way. Apparently, someone from Estiva is waiting at the end of the waterway.",Students in year 1 or above,,1,20202
117,[129] Sp Mission StuCo:Side,"Estiva Academy's famous giant robot has been sent to Sowol Academy! Calm the excited students who want to see the robot and make the exhibition a success! But then, as everyone expected, the robot goes berserk...",Students in year 4 or above who cleared “Fox Bath”,,1,20702
119,[89] The Students' Counterat,The Students' Counterattack,The Students' Counterattack,,1,0
121,[1] Welcome to Estiva,Follow Mocha's guide and learn the basic controls of Yogurting.,New student,,0,10801
125,[1] Welcome to Sowol,Follow Shin Sohyun's guide and get used to the basic controls of Yogurting.,New student,,0,21101
130,[75] Curry Days,"Karen is full of complaints about the priest yet again! This time the problem is her diet! Curry, curry, curry! She is sick of eating nothing but curry every day! Karen hopes that if she brings back a Kokko, he might cook something else. Catch a Kokko from the pen and bring it to the priest! What is the priest's secret recipe?!",Students in year 3 or above who cleared “Memories of the Old School Building”,,1,20402
131,[73] Memories of the Old Sch,"The old school building, infamous for its danger and strangeness, is off-limits to students. And yet some students go in and out without a care. While driving those students out to teach them a lesson, you are suddenly caught up in a mysterious phenomenon!",Students in year 3 or above who cleared “Hungry Wolves”,,1,20402
132,[1] Bomb Alert,"Carry lots of bombs that appear once every 30 seconds into the enemy base! You score according to how many you carry over. The team with the highest score wins! But for every bomb left in the center after 30 seconds, everyone on the field takes damage! Quickly throw the bombs into someone else's area!!",2–4 teams,,1,0
133,[111] Old School Last Day,"The old school building has seen one strange incident after another, with students getting hurt or disappearing. Seeing the situation as serious, the student council has finally decided to demolish it! Break every wall, pillar, and anything else that can be broken! But what will happen to Hoyang and Meiyen?!",Students in year 4 or above who cleared “Lost Memories”,,1,20702
134,[71] Hungry Wolves,The school shop has been attacked by wolves! We can't forgive anyone who attacks everyone's precious shop! But those wolves are Karen's friends?! Karen! Cut ties with bad company!!,Students in year 3 or above who cleared “Emily in the Bathroom”,,1,20402
135,[77] Love at School,"The lovey-dovey level inside the school has suddenly skyrocketed, leaving the students completely lovestruck. Youen-sensei from the infirmary realizes how serious things are and asks you to solve the problem, but the lovestruck students refuse to separate. What is causing this? And if it is solved, will the students return to normal?",Students in year 3 or above who cleared “Curry Days”,,1,20402
136,[129] Full Metal Butler,"A training course specially prepared by Bianca-sensei from the infirmary to train students' minds and bodies! Defuse bombs within the time limit, repel the approaching monsters, and finally face that powerful enemy! You can't clear it unless you survive! (Obviously.)",Students in year 4 or above who cleared “Strike It Rich at the Warguma Casino?”,,1,10004
137,[125] Fox Bath,"Karen hasn't taken a bath for two months?! Suiren, unable to stand it any longer, asks everyone to make Karen take a bath. Karen! Take a bath before you get fleas!",Students in year 4 or above who cleared “Master of Puppets”,,1,20702
139,[83] Protect the Kokko,"Hachi, a freckled girl in the breeding club, does not get along with Karen. That's because Karen and her wolf friends are constantly eyeing the Kokko that Hachi cares for. One day, Karen finally comes to steal the Kokko with many of her wolf friends... Protect the Kokko from the wolves swarming in a frenzy! This is a war for the survival of the breeding club!",Students in year 3 or above who cleared “For That Person”<br>2or more players,,1,20402
140,[81] For That Person,"Kurata says he wants you to break a strange thing called a “Sealing Stone” for a certain person he serves... It isn't impossible, but are we really sure it is okay to break this?",Students in year 3 or above who cleared “Flood Warning”,,1,20402
141,[85] Sowol Encyclopedia,"While searching everywhere for the encyclopedia Hoyang lost, you find it in a place you absolutely cannot reach! You can see it right there, but you can't get to it, and as you stamp your feet in frustration, something strange suddenly happens! Where am I? Who am I?",Students in year 3 or above who cleared “Protect the Kokko”,,1,20402
142,[2] Welcome to Fanta World,Anna asks you to defeat the monsters trying to steal Fanta. Defeat all the monsters!,An event episode that anyone can enjoy to their heart's content.,,1,0
143,[105] I Am the School Rules!,"Each classroom in the old school building has been surrounded by a strange barrier, trapping the students inside. As you break through the barriers while driving off monsters, the ghost vice principal Stalin appears! He laughs loudly, saying that with his self-developed “Study Today, Study Tomorrow Barrier,” he has trapped today's completely delinquent students inside the school. Defeat Stalin, who turned the school into a prison, and restore peace to the old school building!",Students in year 4 or above who cleared “The Vanished Organ Pedal”,,1,20702
144,[121] Youen-sensei's Special,"Youen-sensei, the genius girl, has come to Estiva Academy as a special instructor! While listening to a lesson you don't understand at all, you start to doze off... Huh?! A four-dimensional space again?! Find the exit!!",Students in year 4 or above who cleared “Devoted Heart”,,1,20701
145,[135] Secret Society “P”,"At the request of Hachi from the breeding club, you have to retrieve the “Breeding Diary” from a school building closed for a PTA meeting. By the way, what kind of people are in the PTA?",Students in year 5 or above who cleared “Special Mission Student Council: Side Story”,,1,10201
146,[135] Pursuer “K”,"Mao Xiaoping-sensei is apparently acting suspiciously in the underground waterway. At Grey's request, the students tail Mao-sensei, but the shadow of a mysterious person keeps appearing and disappearing...",Students in year 5 or above who cleared “Full Metal Butler”,,1,20201
147,[141] Rebellion with a Reaso,Students break into the school in the middle of the night to take back items confiscated during a belongings inspection! What? The teachers are the ones at fault?! What is going on...?,Students in year 5 or above who cleared “Secret Society “P””,,1,10201
148,[141] Sp Mission StuCo:Final,"The final command from our hero of Estiva Academy, Suchong?! As usual, let's defeat the monsters disturbing the school's peace! But how did he know the monsters were coming?",Students in year 5 or above who cleared “Pursuer “K””,,1,20201
149,[147] Welcome! Fox Cave,"The group goes to bring back Karen, who wandered dazedly into the underground cemetery, perhaps half asleep. Karen stands there in a trance, and four beautiful women appear! Who are they...?",Students in year 5 or above who cleared “Rebellion with a Reason”,,1,20201
150,[147] Guardian of the Seal,"The group sets out with Grey in search of new antique fragments. What is the true identity of Mao-sensei, who orders you to hand over the fragments?! And at last, “it” awakens...!",Students in year 5 or above who cleared “Special Mission Student Council: Final Chapter”,,1,10201
151,[153] The Unforgivable Objec,"Is this a conspiracy to disturb the school's peace?! It seems a dangerous object has been delivered to student council president Ruben. Following Shin Sohyun's instructions, the group sets out to dispose of it. Judging by Shin Sohyun's serious demeanor, this seems to be a very dangerous mission!",Students in year 5 or above who cleared “Welcome! Fox Cave”,,1,20201
152,[153] Glutton Samurai:8 Drag,The gourmet swordsman Yochimaru's appetite radar has detected a strange creature called “Rosie” at Sowol Academy! Student council president Ruben stands in the way of Yochimaru as he attacks Sowol Academy for a taste test! Are these two master swordsmen about to clash?!,Students in year 5 or above who cleared “Guardian of the Seal”,,1,10201
153,[160] Welcome to the Occult ,"Kurata makes a huge fuss, saying something terrible will happen unless the club gains more members immediately, and forcibly appoints the students as “honorary members of the Occult Research Club.” Will the secrets of the Occult Research Club finally be revealed?!",Students in year 5 or above who cleared “The Gluttonous Samurai: Legend of the Eight Dragons”,,1,20201
154,[160] Revival! Legend of Big,"An SOS from the Wargumas in serious trouble?! At Somunyang-sensei's request, the students head out to help, but...",Students in year 5 or above who cleared “The Unforgivable Object”,,1,10201
157,[167] The Encountered Puppet,"Shin Sohyun was kidnapped while tracking the Puppet Master! If you don't hurry and save her, something terrible will happen...!",Students in year 5 or above who cleared “Welcome to the Occult Research Club”,,1,20201
158,[167] Sp Mission StuCo:New B,"The school shop has been attacked by monsters! Together with everyone's hero Suchong, uncover the mastermind controlling the monsters! What shocking truth will be revealed at the end?!",Students in year 5 or above who cleared “Revival! Legend of Big Sis!”,,1,10201
165,[190] Linty’s True-or-False ,"Challenge Linty's “True-or-False Quiz Show”! It seems whether you go to heaven or hell depends on your quiz results about past episodes! By the way, what is the prize?",Students in year 5 or above who cleared “How Many Culprits?”,,1,0
155,[174] A Box Full of Secrets,"Ben and Sam senseis are surrounded by Soso in the faculty room and in huge trouble! But for some reason, the teachers ask you, “Please don't attack the white Soso”...",Students in year 5 or above who cleared “邂逅の傀儡」または「特命生徒会・新たなる闘い”,,1,0
156,[181] How Many Culprits?,"At the request of the student council union, the group obtains the student rosters of both Estiva and Sowol. A strange fact hidden in the rosters, and the shocking truth that is revealed...?!",Students in year 5 or above who cleared “A Box Full of Secrets”,,1,0
159,[204] Ancient People's Mista,"Mao Xiaoping reveals his true identity and begins attacking the school together with his PTA subordinates. As the students' moment of crisis approaches, a mysterious girl appears...",Students in year 6 or above who cleared “The Culprit Was Among Us!”,,1,0
160,[188] Low Crying Voice,"While casually browsing and reading books in the academic affairs office, Bulrode-Dokki discovers a clause stating that “if the principal is absent for an extended period due to unforeseen circumstances, the PTA president temporarily assumes that authority”...",Students in year 6 or above who cleared “Ancient People's Mistake”,,1,0
161,[188] The Unrevealed Truth,"Unable to stop worrying about what Student A said, the students try to visit the student council and hear the story directly. But the path to the student council is full of monsters and traps...",Students in year 6 or above who cleared “The PTA's Last Day”,,1,0
162,[212] The PTA's Last Day,"Now that the PTA is gone and the World Tree has been restored, all that remains is for the ancient girl to seal the Antique again. However, a device the PTA secretly installed inside the Antique causes it to go berserk...",Students in year 6 or above who cleared “Meet Her”,,1,0
163,[220] Meet Her,Meet Her,Meet Her,,1,0
164,[230] Final Battle,Final Battle,Final Battle,,1,0
8001,[66] TEST EPISODE A,TEST EPISODE A,TEST EPISODE A,,1,0
8002,[1] TEST EPISODE B,TEST EPISODE B,TEST EPISODE B,,1,0
8003,[1] TEST EPISODE C,TEST EPISODE C,TEST EPISODE C,,1,0
8004,[1] TEST EPISODE D,TEST EPISODE D,TEST EPISODE D,,1,0
8100,[1] 무기 테스트,무기 테스트,무기 테스트,,1,0
9999,[1] Question Mark Image,Question Mark Image,Question Mark Image,,1,0
